"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
POST https://reqres.in/api/users
- retry on transient failures
- if we consistently get 403 (remote policy/rate-limit), skip the test
","8005","test_reqres_create_user_post","tests.api","2025-12-07","skipped","2025-12-07","","test_public_apis","",""
"Agify: prediction of age by name","112","test_agify_returns_name_and_age[olga]","tests.api","2025-12-07","passed","2025-12-07","","test_public_apis","",""
"Pokemon API: get pokemon by name and validate types","28","test_pokemon_api_get_pokemon_has_name_and_types[charizard]","tests.api","2025-12-07","passed","2025-12-07","","test_public_apis","",""
"Scroll down 2 times","2014","Step 5 — Scroll down exactly 2 times","tests.web","2025-12-07","passed","2025-12-07","TestTwitchStepByStep","test_twitch_search","",""
"Select one streamer from results and save debug","143","Step 6 — Click first streamer from results","tests.web","2025-12-07","passed","2025-12-07","TestTwitchStepByStep","test_twitch_search","",""
"Pokemon API: get pokemon by name and validate types","345","test_pokemon_api_get_pokemon_has_name_and_types[pikachu]","tests.api","2025-12-07","passed","2025-12-07","","test_public_apis","",""
"Pokemon API: get pokemon by name and validate types","23","test_pokemon_api_get_pokemon_has_name_and_types[bulbasaur]","tests.api","2025-12-07","passed","2025-12-07","","test_public_apis","",""
"Dog CEO: get random image message from url","43","test_dog_api_random_image_message_is_url[3]","tests.api","2025-12-07","passed","2025-12-07","","test_public_apis","",""
"Dog CEO: get random image message from url","46","test_dog_api_random_image_message_is_url[1]","tests.api","2025-12-07","passed","2025-12-07","","test_public_apis","",""
"save cookies for debugging/verification and do not fail if cookies not present","10405","Step 2 — Close cookies (Accept) and save cookies","tests.web","2025-12-07","passed","2025-12-07","TestTwitchStepByStep","test_twitch_search","",""
"Agify: prediction of age by name","688","test_agify_returns_name_and_age[michael]","tests.api","2025-12-07","passed","2025-12-07","","test_public_apis","",""
"Wait until streamer page loads","1685","Step 7 — Wait until streamer page loads (~2-3s)","tests.web","2025-12-07","passed","2025-12-07","TestTwitchStepByStep","test_twitch_search","",""
"Video playback for 5 seconds","5829","Step 8 — Play video for 5 seconds","tests.web","2025-12-07","passed","2025-12-07","TestTwitchStepByStep","test_twitch_search","",""
"using search_for_game with empty query will open search UI or fallback
and method may fallback to direct URL, treat as success","9284","Step 3 — Click search icon (open search)","tests.web","2025-12-07","passed","2025-12-07","TestTwitchStepByStep","test_twitch_search","",""
"Agify: prediction of age by name","111","test_agify_returns_name_and_age[juan]","tests.api","2025-12-07","passed","2025-12-07","","test_public_apis","",""
"Dog CEO: list all breeds, URL and status code 200","370","test_dog_api_list_all_breeds","tests.api","2025-12-07","passed","2025-12-07","","test_public_apis","",""
"Search and submit for 'StarCraft II'","10361","Step 4 — Enter 'StarCraft II' and submit","tests.web","2025-12-07","passed","2025-12-07","TestTwitchStepByStep","test_twitch_search","",""
"Take screenshot of playing stream","1937","Step 9 — Take screenshot after playback","tests.web","2025-12-07","passed","2025-12-07","TestTwitchStepByStep","test_twitch_search","",""
"Open Twitch homepage","2078","Step 1 — Open Twitch homepage","tests.web","2025-12-07","passed","2025-12-07","TestTwitchStepByStep","test_twitch_search","",""
